id,diretoria,pai_setor,setor,nome_setor,categoria_hub,subcategoria_geo,nat,tipo,situacao_2024,centro_custo,cod_ua,endereco,bairro,cep,telefones,emails,latitude,longitude,street_view,como_chegar,flag_geo,regra_classificacao,observacao,global_id
1,DSU,UCS,UDS-O,Divisão de Coleta Seletiva Barra-Oeste,Operacional,Coleta seletiva / cooperativas,OP,DIVISÃO,Unid. Oper.,44120200,45436.0,"Estrada da Covanca, 320",Tanque,22735-020,2080-9489,rlpduran@prefeitura.rio,-22.91891380614107,-43.35835600221453,"http://maps.google.com/maps?q=&layer=c&cbll=-22.91891381,-43.358356",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{87C2CB34-BE48-4ACE-BFB8-915298B289E6}
2,DLU,NG15M,ND15M,Divisão Parque de Madureira,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,45072000,48875.0,"Avenida dos Italianos, S/N",Turiaçu,21550-140,98094-7420,abonilha@prefeitura.rio / comlurb.pqmadureira@gmail.com,-22.85915989881644,-43.34808651937868,"http://maps.google.com/maps?q=&layer=c&cbll=-22.8591599,-43.34808652",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{DD45D182-DCB1-4682-8EC6-B4E2C997E2E1}
3,DLU,OG26P,OD26B,Divisão de Serviços Barra de Guaratiba,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,43051000,15018.0,"Estrada Roberto Burle Marx, S/N",Guaratiba,23020240,97044-1135,jorgeplopes@prefeitura.rio / og26bdso@yahoo.com.br,-23.06837361746172,-43.5671952174708,"http://maps.google.com/maps?q=&layer=c&cbll=-23.06837362,-43.56719522",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{A1E06749-3BD0-47BD-88D9-4FE614B60036}
4,DLU,OGV,OGT,Gerência Adjunta Transoeste,Operacional,Unidade operacional,OP,GERÊNCIA ADJUNTA,Unid. Oper.,43191000,44674.0,Rua Teodoreto de Camargo,Guaratiba,23020440,97043-6062,johnnypdiogo@prefeitura.rio / ogt.comlurb@gmail.com,-23.0104634275179,-43.53420513124395,"http://maps.google.com/maps?q=&layer=c&cbll=-23.01046343,-43.53420513",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{188F7293-2389-4470-96F4-F9053D1EAE72}
5,DTE,TGL,TGL01,Gerência de Transporte e Logística - COR - Cidade Nova,Tecnologia,Manutenção / frota / logística,,VIRTUAL,COR PCRJ,67001001,45843.0,"Rua Ulysses Guimarães, 300",Cidade Nova,20211-150,,,-22.91209639901075,-43.20335258567861,"http://maps.google.com/maps?q=&layer=c&cbll=-22.9120964,-43.20335259",,OK,Termos de tecnologia/sistemas/informática,"Setor virtual: pode aparecer como apoio/hierarquia, não necessariamente como ponto físico.",{03772E78-7F5A-489B-A76A-07966CAC1420}
6,DSU,UCP,UGH-M,Gerência Adjunta de Limpeza Hospitalar Miguel Couto,Operacional,Limpeza hospitalar,OP,GERÊNCIA ADJUNTA,Limp. Hosp.,44130600,45293.0,"Rua Mário Ribeiro, 117",Leblon,22430-160,2088-1385,fabio.siqueira@prefeitura.rio,-22.97735455160719,-43.22316078803637,"http://maps.google.com/maps?q=&layer=c&cbll=-22.97735455,-43.22316079",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{46666B1A-8FA5-4657-856E-878E271E9647}
7,COML20,COML20M,COML20D7,Convênio SMS/COMLURB Divisão Operacional 7,Apoio,Convênio SMS,,ÓRGÃO EXTERNO,Conv. SMS,82020700,,"Estrada Curicica, 2000",Curicica,22710-550,,,-22.95582874831435,-43.39423376783796,"http://maps.google.com/maps?q=&layer=c&cbll=-22.95582875,-43.39423377",,OK,"Órgão externo, convênio ou unidade de apoio",Convênio/estrutura externa: avaliar se entra como camada própria no HUB.,{C017D625-1731-4849-AE75-BAF95974D255}
8,DLU,LRB,BG16F,Gerência Freguesia,Operacional,Unidade operacional,OP,GERÊNCIA,Unid. Oper.,46050000,14994.0,"Rua Francisco Aquarone, 60",Freguesia,22755170,998784786,leonardo.moraes@prefeitura.rio / bg16fdsb@gmail.com,-22.94305041448586,-43.33843036489629,"http://maps.google.com/maps?q=&layer=c&cbll=-22.94305041,-43.33843036",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{2E4ADF97-8061-4B08-8781-3319F4D6C12B}
9,DLU,LRB,BGE,Gerência de Serviços Extraordinários e Pronto Emprego,Operacional,Unidade operacional,OP,GERÊNCIA,Unid. Oper.,46001000,45617.0,Avenida Adauto Botelho,Jacarepaguá,22713550,980944200,joao.gervasoni@prefeitura.rio / bgedsb@gmail.com,-22.93979100216947,-43.39337132767304,"http://maps.google.com/maps?q=&layer=c&cbll=-22.939791,-43.39337133",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{3A55E6BF-C137-40D0-BF24-17112CFA43CA}
10,DLU,DLU,LRC,Superintendência Regional Norte Central,Operacional,Unidade operacional,OP,SUPERINTENDENCIA,"Unid. Adm., Unid. Oper.",47000000,53300.0,"Rua General Espírito Santo Cardoso, 628",Muda,20530-500,,,-22.93252735944342,-43.24826645982917,"http://maps.google.com/maps?q=&layer=c&cbll=-22.93252736,-43.24826646",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{7497658A-841A-4BC0-8837-CD942DFCC5AC}
