DIRETORIA TÉCNICA E DE ENGENHARIA - DTE,,,,,,,,,,,,,,,,
A - ATIVIDADES OPERACIONAIS - COORDENADORIA DE DESTINAÇÃO DE RESÍDUOS - TCD,,,,,,,,,,,,,,,,
I - Recebimento Resíduos Totais - t,mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
ETR Bangu - t,48.998,45.066,40.564,36.094,38.721,38.316,38.825,42.615,41.473,39.591,42.333,39.027,38.773,,,
ETR Caju - t,95.340,89.273,96.522,94.606,94.951,94.674,93.115,100.027,100.430,94.421,100.508,95.644,98.079,,,
ETR Jacarepagua - t,42.356,37.922,41.860,40.773,38.681,42.205,40.340,44.836,46.101,44.392,44.738,28.480,27.733,,,
ETR Mal Hermes - t,49.226,46.793,53.294,52.609,51.006,46.521,43.774,51.630,52.700,49.197,56.380,61.897,63.318,,,
ETR Santa Cruz - t,18.313,18.489,24.947,26.092,23.934,27.248,25.983,28.538,27.763,25.764,28.931,28.225,28.613,,,
ETR Total -t,254.233,237.544,257.186,250.174,247.294,248.964,242.037,267.646,268.467,253.365,272.890,253.275,256.516,,,
Operação Bem Verde - t,,,2.792,1.912,3.256,4.219,3.978,3.414,2.097,3.544,2.536,2.366,1.657,,,
II - Recebimento Residos Recebidos nas ETR's - Por Tipo,,,,,,,,,,,,,,,,
,mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
Coleta Domiciliar - t,116.797,107.811,117.022,117.831,121.698,122.039,119.659,142.654,137.424,129.337,137.135,126.382,123.437,,,
Coleta em Comunidades - t,12.653,11.454,12.520,11.676,11.020,11.240,11.367,13.024,13.142,12.763,13.311,12.603,12.780,,,
Lixo Público - t,90.185,85.703,93.021,85.660,79.009,80.648,78.353,76.330,83.175,81.341,89.871,89.183,86.513,,,
Grande Geradores (COMLURB) - t,27.809,25.135,26.917,27.404,27.418,28.396,26.969,30.542,28.982,27.500,30.374,26.542,28.128,,,
,,,,,,,,,,,,,,,,
III - Aterro de RCC Gericinó,mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
Recebimento - t,,,,,,2.662,3.117,3.983,2.657,1.740,1.978,3.433,2.172,,,
Comlurb - t,,,,,,2.403,2.316,3.109,2.232,1.432,1.663,3.184,1.877,,,
Terceiros - t,,,,,,259,801,874,425,308,315,249,295,,,
,,,,,,,,,,,,,,,,
IV - Operação Bem Verde,mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
Recebido no CTR.Rio - t,,,,,,5.416,3.467,3.175,1.743,1.811,2.254,2.140,1.705,,,
Recebido na ETR Caju - t,,,2.692,"2.490,06","2.475,73",285,77,0,0,0,0,0,0,,,
,,,,,,,,,,,,,,,,
V - Geração Biogás (Nm³),mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
CTR Seriopédica,16.257.432,15.171.048,16.172.112,16.755.168,16.413.000,17.451.035,15.466.752,16.187.688,15.460.368,14.327.258,16.550.860,15.332.807,15.037.503,,,
Aterro Gramacho,431.483,94.325,409.562,519.960,451.010,494.780,427.420,580.974,422.990,296.860,160.100,243.919,321.065,,,
,,,,,,,,,,,,,,,,
VI - Biogás (Nm³) - PARA PURIFICAÇÃO,mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
CTR Seriopédica,11.434.296,10.393.680,10.777.104,11.259.120,10.724.664,11.457.072,11.456.136,10.550.520,10.495.968,9.439.466,11.847.964,11.083.343,12.263.127,,,
,,,,,,,,,,,,,,,,
VII - Geração Chorume (m³),mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
CTR Seriopédica,45.851,38.411,36.736,38.038,36.415,41.704,37.941,42.221,62.140,104.819,90.414,55.907,53.466,,,
Tratamento Interno,22.448,31.445,43.499,26.823,33.410,37.858,26.146,28.384,34.936,35.135,42.498,25.467,25.149,,,
Tratamento Externo,35.965,26.213,12.839,20.851,21.428,21.583,22.243,20.082,24.837,28.006,44.024,44.626,40.046,,,
Chorume Acumulado,49.242,34.675,31.573,28.221,26.826,32.786,25.153,26.808,44.249,108.510,186.713,177.651,167.276,,,
Aterro Gramacho (ETC + MANEJO),36.282,33.680,35.025,34.186,35.160,36.103,35.145,36.840,33.882,33.015,35.569,34.360,35.915,,,
Tratamento Interno,33.042,30.785,32.085,31.336,31.815,32.233,31.590,32.940,30.372,29.250,32.219,31.860,32.400,,,
Recirculado,3.240,2.895,2.940,2.850,3.345,3.870,3.555,3.900,3.510,3.765,3.350,2.500,3.515,,,
Aterro Bangu (REC. + TRAT. EXT),3.025,2.918,3.258,2.998,3.234,3.170,2.843,3.191,2.912,3.303,3.718,2.747,2.136,,,
Tratamento Externo,875,768,878,878,874,880,443,861,872,863,838,857,856,,,
Recirculado,2.150,2.150,2.380,2.120,2.360,2.290,2.400,2.330,2.040,2.440,2.880,1.890,1.280,,,
B - MONITORAMENTO FROTA CONTRATADA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Coleta Domiciliar e Comunidade,mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
Peso Coletado / Capacidade Estimada (t),"0,719","0,72","0,728","0,72","0,746","0,737","0,786","0,852","0,814","0,815","0,769","0,696","0,682",,,
Gerência Ofensora 1,SG05C,CG13M,CG13M,CG13M,CG13M,CG13M,SG27R,SG27R,SG27R,SG27R,SG27R,SG27R,SG27R,,,
,"0,479","0,587","0,579","0,569","0,583","0,596","0,595","0,585","0,561","0,572","0,555","0,499","0,476",,,
Gerência Ofensora 2,SG06L,CG10R,SG27R,SG05C,SG27R,SG27R,CG13M,CG13M,CG13M,CG13M,CG13M,CG13M,CG13M,,,
,"0,539","0,617","0,602","0,575","0,605","0,608","0,618","0,653","0,619","0,628","0,591","0,513","0,492",,,
Gerência Ofensora 3,CG13M,SG27R,SG05C,SG27R,SG05C,SG05C,SG05C,SG02C,SG06L,SG05C,OG26P,OG26P,OG26P,,,
,"0,575","0,618","0,646","0,598","0,617","0,624","0,668","0,709","0,713","0,695","0,641","0,569","0,555",,,
Critérios: CDC e CDO,,,,,,,,,,,,,,,,
Serviços: CDC e CDO,,,,,,,,,,,,,,,,
"Compactador P6: 6,8 t x 2 viagens / apresentação",,,,,,,,,,,,,,,,
"Compactador P7: 11,0 t x 2 viagens / apresentação",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Remoção Manual - P8,mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
Peso Coletado / Capacidade Estimada (t),"0,937","1,005","0,948","0,898","0,938","1,077","1,041","0,922","0,909","1,023","0,993","1,115","1,02",,,
Obs: Reporte inconsistente de carregamento manual na utilização do P8,,,,,,,,,,,,,,,,
Gerência Ofensora 1,SG03R,OG33R,CG10R,OG33R,BG24R,BG24R,OG33R,BG24B,BG24B,BG24B,BG24B,BG24B,BG24B,,,
,"0,144","0,472","0,152","0,369","0,311","0,223","0,402","0,57","0,401","0,352","0,278","0,234","0,353",,,
Gerência Ofensora 2,NG25F,NG25F,OG33R,BG24B,OG33R,BG24B,BG24B,OG33R,OG33R,OG33R,BG24R,OG33R,OG19C,,,
,"0,424","0,535","0,354","0,376","0,394","0,39","0,485","0,661","0,442","0,53","0,415","0,448","0,472",,,
Gerência Ofensora 3,BG24R,BG24R,NG25F,NG25F,NG25F,OG33R,CG09V,SG04B,SG07S,CG09V,OG33R,SG04B,OG33R,,,
,"0,47","0,562","0,407","0,541","0,453","0,55","0,543","0,729","0,481","0,662","0,544","0,552","0,485",,,
Critérios: Remoção Manual,,,,,,,,,,,,,,,,
Remoção Manual,,,,,,,,,,,,,,,,
"Basculante P8: 2,7 t x 2 viagens / apresentação",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Remoção Mecanizada - P8,mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
Peso Coletado / Capacidade Estimada (t),"0,608","0,628","0,625","0,632","0,584","0,638","0,619","0,487","0,57","0,559","0,559","0,537","0,578",,,
Gerência Ofensora 1,OG26P,CG09V,CG10R,NG15M,BG24B,CG09V,BG24B,CG08T,BG24B,SG06L,BG24B,BG24B,BG24B,,,
,"0,312","0,363","0,32","0,113","0,422","0,434","0,302","0,295","0,267","0,214","0,244","0,222","0,281",,,
Gerência Ofensora 2,SG01P,BG16J,CG09V,CG09V,CG09V,BG24B,NGE,BG16F,CG08T,BG24B,CG08T,CG08T,CG08T,,,
,"0,394","0,413","0,418","0,403","0,476","0,475","0,385","0,344","0,296","0,271","0,343","0,306","0,322",,,
